"year","mean","location","age","per1000"
2006,0.0119684862991927,"Peru","Neonatal",11.9684862991927
2007,0.0114834514463249,"Peru","Neonatal",11.4834514463249
2008,0.0110061790970274,"Peru","Neonatal",11.0061790970274
2009,0.0106027369866618,"Peru","Neonatal",10.6027369866618
2010,0.0101987005805818,"Peru","Neonatal",10.1987005805818
2011,0.00978809227340061,"Peru","Neonatal",9.78809227340061
2012,0.00937768236252334,"Peru","Neonatal",9.37768236252334
2013,0.00897002887173592,"Peru","Neonatal",8.97002887173592
2014,0.00857750016196268,"Peru","Neonatal",8.57750016196268
2015,0.00818613859448092,"Peru","Neonatal",8.18613859448092
2016,0.00782375299028493,"Peru","Neonatal",7.82375299028493
1970,0.240573331251672,"Bangladesh","Under 5",240.573331251672
1971,0.237233304233811,"Bangladesh","Under 5",237.233304233811
1972,0.217346882005911,"Bangladesh","Under 5",217.346882005911
1973,0.215928624993243,"Bangladesh","Under 5",215.928624993243
1974,0.215211461676338,"Bangladesh","Under 5",215.211461676338
1975,0.211455610517166,"Bangladesh","Under 5",211.455610517166
1976,0.208448430238724,"Bangladesh","Under 5",208.448430238724
1977,0.205191133040949,"Bangladesh","Under 5",205.191133040949
1978,0.201183260999322,"Bangladesh","Under 5",201.183260999322
1979,0.196666365282924,"Bangladesh","Under 5",196.666365282924
1980,0.192251835833463,"Bangladesh","Under 5",192.251835833463
1981,0.187546396888137,"Bangladesh","Under 5",187.546396888137
1982,0.183391805318991,"Bangladesh","Under 5",183.391805318991
1983,0.177646462812682,"Bangladesh","Under 5",177.646462812682
1984,0.171876941743023,"Bangladesh","Under 5",171.876941743023
1985,0.166732710375005,"Bangladesh","Under 5",166.732710375005
1986,0.160314119377705,"Bangladesh","Under 5",160.314119377705
1987,0.154596843788259,"Bangladesh","Under 5",154.596843788259
1988,0.148878091786372,"Bangladesh","Under 5",148.878091786372
1989,0.14278034198856,"Bangladesh","Under 5",142.78034198856
1990,0.136807407735841,"Bangladesh","Under 5",136.807407735841
1991,0.136806038185667,"Bangladesh","Under 5",136.806038185667
1992,0.125321132271526,"Bangladesh","Under 5",125.321132271526
1993,0.119650906373854,"Bangladesh","Under 5",119.650906373854
1994,0.114220338450191,"Bangladesh","Under 5",114.220338450191
1995,0.10898354428307,"Bangladesh","Under 5",108.98354428307
1996,0.10389892101421,"Bangladesh","Under 5",103.89892101421
1997,0.0991030437989533,"Bangladesh","Under 5",99.1030437989533
1998,0.0945558151394325,"Bangladesh","Under 5",94.5558151394325
1999,0.0902058385391633,"Bangladesh","Under 5",90.2058385391633
2000,0.0860721071819088,"Bangladesh","Under 5",86.0721071819088
2001,0.0821081719936598,"Bangladesh","Under 5",82.1081719936598
2002,0.0783019178916724,"Bangladesh","Under 5",78.3019178916724
2003,0.0746571426726189,"Bangladesh","Under 5",74.6571426726189
2004,0.0711170779752244,"Bangladesh","Under 5",71.1170779752244
2005,0.0676282076588582,"Bangladesh","Under 5",67.6282076588582
2006,0.0641306606631021,"Bangladesh","Under 5",64.1306606631021
2007,0.0608262372906075,"Bangladesh","Under 5",60.8262372906075
2008,0.0573047205045971,"Bangladesh","Under 5",57.3047205045971
2009,0.0540314592872629,"Bangladesh","Under 5",54.0314592872629
2010,0.0508545937291993,"Bangladesh","Under 5",50.8545937291993
2011,0.0477470152450438,"Bangladesh","Under 5",47.7470152450438
2012,0.0447491181205354,"Bangladesh","Under 5",44.7491181205354
2013,0.0418796651060438,"Bangladesh","Under 5",41.8796651060438
2014,0.0391098077092352,"Bangladesh","Under 5",39.1098077092352
2015,0.0364501593007471,"Bangladesh","Under 5",36.4501593007471
2016,0.03396583409177,"Bangladesh","Under 5",33.96583409177
1970,0.0903589508306374,"Bangladesh","Neonatal",90.3589508306374
1971,0.0903744742463698,"Bangladesh","Neonatal",90.3744742463698
1972,0.08736974396491,"Bangladesh","Neonatal",87.36974396491
1973,0.0867799750304485,"Bangladesh","Neonatal",86.7799750304485
1974,0.0859831389224643,"Bangladesh","Neonatal",85.9831389224643
1975,0.0852035206358892,"Bangladesh","Neonatal",85.2035206358892
1976,0.084104291007815,"Bangladesh","Neonatal",84.104291007815
1977,0.0828856431352841,"Bangladesh","Neonatal",82.8856431352841
1978,0.0814921326683692,"Bangladesh","Neonatal",81.4921326683692
1979,0.0799076869654277,"Bangladesh","Neonatal",79.9076869654277
1980,0.0783541279911376,"Bangladesh","Neonatal",78.3541279911376
1981,0.0767261966911745,"Bangladesh","Neonatal",76.7261966911745
1982,0.0751558468276144,"Bangladesh","Neonatal",75.1558468276145
1983,0.0733943420113721,"Bangladesh","Neonatal",73.3943420113721
1984,0.0714959276595004,"Bangladesh","Neonatal",71.4959276595004
1985,0.0696308091542117,"Bangladesh","Neonatal",69.6308091542117
1986,0.0677571975033732,"Bangladesh","Neonatal",67.7571975033732
1987,0.0659034679862534,"Bangladesh","Neonatal",65.9034679862533
1988,0.0640746407853379,"Bangladesh","Neonatal",64.0746407853379
1989,0.0621750871336897,"Bangladesh","Neonatal",62.1750871336897
1990,0.0602511802960219,"Bangladesh","Neonatal",60.2511802960219
1991,0.0585873714375764,"Bangladesh","Neonatal",58.5873714375764
1992,0.0565176157809388,"Bangladesh","Neonatal",56.5176157809388
1993,0.0546391307076716,"Bangladesh","Neonatal",54.6391307076716
1994,0.0528289903098517,"Bangladesh","Neonatal",52.8289903098517
1995,0.0510319633698454,"Bangladesh","Neonatal",51.0319633698454
1996,0.0492685133370711,"Bangladesh","Neonatal",49.268513337071
1997,0.0475897376061718,"Bangladesh","Neonatal",47.5897376061718
1998,0.045978013670962,"Bangladesh","Neonatal",45.978013670962
1999,0.044426790746071,"Bangladesh","Neonatal",44.426790746071
2000,0.0429010961915485,"Bangladesh","Neonatal",42.9010961915485
2001,0.0414110473083938,"Bangladesh","Neonatal",41.4110473083938
2002,0.039976328683311,"Bangladesh","Neonatal",39.976328683311
2003,0.0385792724593099,"Bangladesh","Neonatal",38.5792724593099
2004,0.0371965647177982,"Bangladesh","Neonatal",37.1965647177982
2005,0.0358247666861673,"Bangladesh","Neonatal",35.8247666861673
2006,0.034409757613582,"Bangladesh","Neonatal",34.409757613582
2007,0.0329952491588764,"Bangladesh","Neonatal",32.9952491588764
2008,0.031614286305568,"Bangladesh","Neonatal",31.614286305568
2009,0.0302359438730175,"Bangladesh","Neonatal",30.2359438730175
2010,0.0288645219353997,"Bangladesh","Neonatal",28.8645219353997
2011,0.0274887982403789,"Bangladesh","Neonatal",27.4887982403789
2012,0.0261515037852387,"Bangladesh","Neonatal",26.1515037852387
2013,0.0248511350434344,"Bangladesh","Neonatal",24.8511350434344
2014,0.0235725253392302,"Bangladesh","Neonatal",23.5725253392302
2015,0.0223122734681868,"Bangladesh","Neonatal",22.3122734681868
2016,0.0209548342206598,"Bangladesh","Neonatal",20.9548342206598
1970,0.246596848435845,"Nepal","Under 5",246.596848435845
1971,0.242266941926139,"Nepal","Under 5",242.266941926139
1972,0.238075199962755,"Nepal","Under 5",238.075199962755
1973,0.234267054864348,"Nepal","Under 5",234.267054864348
1974,0.229852459122677,"Nepal","Under 5",229.852459122677
1975,0.2256926620375,"Nepal","Under 5",225.6926620375
1976,0.221431288774574,"Nepal","Under 5",221.431288774574
1977,0.216683667213261,"Nepal","Under 5",216.683667213261
1978,0.211597611189321,"Nepal","Under 5",211.597611189321
1979,0.206039710084455,"Nepal","Under 5",206.039710084455
1980,0.201084071765399,"Nepal","Under 5",201.084071765399
1981,0.195454758179107,"Nepal","Under 5",195.454758179107
1982,0.189204286468847,"Nepal","Under 5",189.204286468847
1983,0.183381228236882,"Nepal","Under 5",183.381228236882
1984,0.176784294115868,"Nepal","Under 5",176.784294115868
1985,0.169880815169968,"Nepal","Under 5",169.880815169968
1986,0.163029643190004,"Nepal","Under 5",163.029643190004
1987,0.15646435855811,"Nepal","Under 5",156.46435855811
1988,0.149719521481,"Nepal","Under 5",149.719521481
1989,0.142642008876381,"Nepal","Under 5",142.642008876381
1990,0.136567804676165,"Nepal","Under 5",136.567804676165
1991,0.130427537238016,"Nepal","Under 5",130.427537238016
1992,0.123145287437978,"Nepal","Under 5",123.145287437978
1993,0.117341053155289,"Nepal","Under 5",117.341053155289
1994,0.111139391674055,"Nepal","Under 5",111.139391674055
1995,0.105560210829259,"Nepal","Under 5",105.560210829259
1996,0.100167990691355,"Nepal","Under 5",100.167990691355
1997,0.09484715950286,"Nepal","Under 5",94.84715950286
1998,0.090161430444489,"Nepal","Under 5",90.161430444489
1999,0.0854890960730551,"Nepal","Under 5",85.4890960730551
2000,0.0810396722091786,"Nepal","Under 5",81.0396722091786
2001,0.0768123823710788,"Nepal","Under 5",76.8123823710788
2002,0.0736877198944819,"Nepal","Under 5",73.6877198944819
2003,0.0695593830027131,"Nepal","Under 5",69.5593830027131
2004,0.0661921871854427,"Nepal","Under 5",66.1921871854427
2005,0.0626659513825184,"Nepal","Under 5",62.6659513825184
